user_age_segment,users_in_segment,category_code,users_view,users_cart,cart_rate
31+d,5002334,,2989906,575869,19.260438288026446
31+d,5002334,construction.tools.light,2952352,874315,29.614185571368186
0d,7585485,construction.tools.light,1956801,233480,11.931719168172952
31+d,5002334,electronics.smartphone,1620880,336095,20.735341296086077
31+d,5002334,apparel.shoes,1351585,153868,11.384263660813046
0d,7585485,,1309563,56339,4.302122158307772
31+d,5002334,sport.bicycle,1054228,205733,19.51503849262209
31+d,5002334,appliances.kitchen.refrigerators,1049449,116605,11.111068760844976
31+d,5002334,electronics.clocks,1015822,140931,13.873592026949602
31+d,5002334,electronics.audio.headphone,912043,152699,16.742522008282503
31+d,5002334,appliances.personal.massager,839440,139635,16.63430382159535
0d,7585485,electronics.smartphone,710840,68149,9.587108210005065
31+d,5002334,appliances.environment.vacuum,657225,112752,17.15576857240671
31+d,5002334,computers.peripherals.printer,612127,57760,9.43595038284539
31+d,5002334,kids.toys,609310,40465,6.641118642398778
31+d,5002334,apparel.shoes.keds,600605,42750,7.117822861947536
31+d,5002334,accessories.bag,557381,32034,5.74723573282907
31+d,5002334,electronics.video.tv,517075,65901,12.744959628680558
31+d,5002334,sport.trainer,499098,35058,7.0242717863024895
31+d,5002334,appliances.kitchen.washer,480651,83886,17.452579938458467
31+d,5002334,apparel.costume,473351,29253,6.17998060635765
31+d,5002334,apparel.shirt,458019,25642,5.59845770590303
31+d,5002334,furniture.kitchen.table,428830,44790,10.44469836531959
31+d,5002334,furniture.bedroom.bed,425792,31109,7.306149481436945
31+d,5002334,computers.desktop,419141,30962,7.387012962225123
31+d,5002334,apparel.shoes.sandals,401460,52605,13.10342250784636
31+d,5002334,construction.tools.welding,399783,27791,6.951521200251136
31+d,5002334,furniture.bedroom.blanket,387294,48289,12.468305731563103
31+d,5002334,construction.tools.drill,370963,23067,6.218140353620172
31+d,5002334,computers.notebook,370305,37138,10.029030123816854
31+d,5002334,apparel.scarf,369341,33322,9.022014885972583
31+d,5002334,sport.ski,348408,23083,6.625278409221373
31+d,5002334,appliances.kitchen.toster,345513,30344,8.782303415501008
31+d,5002334,appliances.kitchen.coffee_grinder,344902,28501,8.263506735246533
31+d,5002334,apparel.shoes.slipons,337782,42747,12.655203652059614
31+d,5002334,apparel.underwear,335303,19584,5.840687378281733
31+d,5002334,construction.components.faucet,313576,32005,10.20645712682093
31+d,5002334,apparel.shorts,308802,18912,6.124312666368741
31+d,5002334,apparel.shoes.moccasins,279042,14666,5.255839622709126
0d,7585485,apparel.shoes,276783,12265,4.431269261479209
31+d,5002334,appliances.kitchen.grill,276721,22161,8.008427260670494
31+d,5002334,furniture.living_room.sofa,275515,16556,6.009110211785202
0d,7585485,appliances.kitchen.refrigerators,255144,14353,5.62545072586461
0d,7585485,electronics.audio.headphone,252066,18294,7.257623003499083
31+d,5002334,furniture.kitchen.chair,248395,24515,9.869361299543067
31+d,5002334,electronics.tablet,244917,23735,9.691038188447514
0d,7585485,sport.bicycle,242105,16357,6.756159517564693
31+d,5002334,furniture.living_room.cabinet,241130,14104,5.8491270269149425
31+d,5002334,computers.components.cooler,240532,23670,9.84068647830642
31+d,5002334,appliances.kitchen.blender,237988,37997,15.96593105534733
31+d,5002334,furniture.bathroom.bath,236197,25237,10.684725038844693
31+d,5002334,electronics.audio.subwoofer,231206,21387,9.250192469053571
31+d,5002334,kids.skates,229534,21080,9.183824618575025
31+d,5002334,electronics.camera.video,228758,22617,9.886867344530028
31+d,5002334,construction.tools.generator,224633,21501,9.571612363276989
31+d,5002334,appliances.kitchen.oven,222443,28310,12.726855868694454
31+d,5002334,appliances.kitchen.kettle,213646,20364,9.531655167894556
31+d,5002334,appliances.kitchen.mixer,211274,26002,12.307240834177419
0d,7585485,electronics.clocks,209374,9756,4.659604344378958
31+d,5002334,auto.accessories.compressor,207332,15144,7.304227036829819
0d,7585485,appliances.personal.massager,206916,19485,9.416864814707418
31+d,5002334,kids.swing,200961,25810,12.843288001154454
0d,7585485,apparel.scarf,191698,5053,2.635916910974554
31+d,5002334,apparel.trousers,190025,20030,10.540718326535982
31+d,5002334,apparel.tshirt,184158,10148,5.510485561311483
31+d,5002334,electronics.audio.microphone,182322,8256,4.528252213117452
31+d,5002334,construction.tools.saw,175835,14823,8.430062274291238
31+d,5002334,electronics.telephone,172520,13351,7.738812891258985
31+d,5002334,furniture.living_room.chair,171076,11668,6.820360541513713
31+d,5002334,appliances.sewing_machine,165336,21560,13.04011225625393
31+d,5002334,electronics.audio.acoustic,165148,12707,7.694310557802699
31+d,5002334,apparel.jeans,164925,6560,3.9775655601030775
0d,7585485,kids.toys,163356,4264,2.6102500061215994
31+d,5002334,accessories.wallet,157965,12982,8.218276200424144
0d,7585485,computers.peripherals.printer,152972,5511,3.602620087336245
31+d,5002334,electronics.camera.photo,147292,25481,17.29964967547457
31+d,5002334,kids.dolls,145690,8253,5.664767657354657
0d,7585485,accessories.bag,144551,2798,1.9356490096920809
31+d,5002334,electronics.video.projector,144334,8715,6.038078346058448
31+d,5002334,auto.accessories.alarm,141975,13737,9.675647120972002
31+d,5002334,appliances.kitchen.hood,141832,17028,12.005753285577303
31+d,5002334,appliances.environment.air_heater,138891,18556,13.36011692622272
0d,7585485,sport.trainer,136039,3839,2.8219848719852396
31+d,5002334,appliances.kitchen.meat_grinder,130380,9299,7.132228869458506
31+d,5002334,auto.accessories.player,128270,6778,5.284166211896781
31+d,5002334,computers.components.power_supply,126461,14142,11.182894331058588
0d,7585485,apparel.shoes.sandals,124539,3952,3.1733031419876503
31+d,5002334,appliances.personal.hair_cutter,122705,22074,17.98948698097062
31+d,5002334,appliances.kitchen.juicer,122663,12809,10.44243170312156
31+d,5002334,country_yard.cultivator,118251,10955,9.264192268987156
31+d,5002334,computers.peripherals.mouse,114734,7620,6.64144891662454
31+d,5002334,construction.tools.pump,112305,5877,5.233070655803393
31+d,5002334,computers.ebooks,110474,6171,5.585929721020331
31+d,5002334,auto.accessories.videoregister,109579,6477,5.910804077423594
0d,7585485,appliances.environment.vacuum,106549,10075,9.455743366901613
31+d,5002334,electronics.audio.music_tools.piano,103346,6333,6.127958508311885
31+d,5002334,appliances.environment.air_conditioner,102415,13677,13.354489088512425
31+d,5002334,appliances.ironing_board,101674,6686,6.575919114031119
0d,7585485,apparel.shoes.keds,99976,3108,3.1087460990637754
31+d,5002334,furniture.universal.light,97938,11009,11.24078498641998
31+d,5002334,apparel.shoes.step_ins,95647,5733,5.993915125409057
0d,7585485,appliances.kitchen.washer,95102,10189,10.713759962987108
0d,7585485,electronics.video.tv,90847,6517,7.1735995685052885
31+d,5002334,apparel.pajamas,89388,3400,3.8036425470980446
31+d,5002334,appliances.kitchen.hob,86122,10489,12.179234109751283
31+d,5002334,accessories.umbrella,86120,2248,2.6103111936832324
31+d,5002334,sport.snowboard,85866,4147,4.829618242377658
31+d,5002334,appliances.kitchen.dishwasher,85848,7145,8.322849687820334
31+d,5002334,apparel.sock,85790,2846,3.317402960718032
31+d,5002334,computers.components.motherboard,85632,3497,4.0837537369207775
0d,7585485,apparel.shirt,84955,2067,2.433052792654935
0d,7585485,apparel.shoes.slipons,84832,4880,5.752546208977744
31+d,5002334,kids.carriage,81368,5696,7.000294956248157
0d,7585485,apparel.costume,80622,2468,3.061199176403463
0d,7585485,furniture.kitchen.table,79832,4337,5.432658583024351
31+d,5002334,appliances.personal.scales,79367,6325,7.9693071427671445
0d,7585485,computers.notebook,78482,3011,3.836548507938126
31+d,5002334,apparel.jumper,78482,2350,2.9943171682678833
0d,7585485,construction.tools.welding,76738,3062,3.9902004222158514
31+d,5002334,auto.accessories.radar,75325,6781,9.002323265847991
31+d,5002334,appliances.iron,74952,8781,11.715497918667946
31+d,5002334,computers.components.videocards,72988,3078,4.217131583273963
31+d,5002334,appliances.kitchen.microwave,70954,8867,12.496828931420357
0d,7585485,apparel.underwear,69394,1943,2.7999538865031557
31+d,5002334,apparel.dress,68970,724,1.0497317674351168
31+d,5002334,sport.tennis,66134,3957,5.983306619892945
31+d,5002334,apparel.shoes.ballet_shoes,65684,3953,6.0182083916935625
0d,7585485,appliances.kitchen.grill,65321,1928,2.9515775937294286
31+d,5002334,construction.tools.painting,64624,5089,7.874783362218371
0d,7585485,computers.desktop,64286,2455,3.818871916124817
0d,7585485,appliances.kitchen.toster,63606,4057,6.3783290884507755
0d,7585485,construction.tools.drill,62918,2328,3.700054038589911
31+d,5002334,medicine.tools.tonometer,61832,3329,5.383943589080088
31+d,5002334,apparel.shoes.espadrilles,61614,4085,6.629986691336384
0d,7585485,appliances.kitchen.oven,57773,2861,4.952140273137971
0d,7585485,electronics.tablet,57090,1968,3.4471886495007884
0d,7585485,furniture.bedroom.bed,57089,2506,4.38963723309219
31+d,5002334,appliances.environment.climate,56860,2933,5.15828350334154
0d,7585485,furniture.bedroom.blanket,56012,3695,6.596800685567378
0d,7585485,apparel.shorts,53285,1772,3.3255137468330678
0d,7585485,appliances.sewing_machine,52188,2421,4.638997470682916
0d,7585485,furniture.living_room.sofa,51841,1262,2.4343666210142554
31+d,5002334,stationery.cartrige,46867,2714,5.790854972581987
0d,7585485,furniture.kitchen.chair,45877,1494,3.2565337750942738
31+d,5002334,appliances.environment.water_heater,45718,5900,12.905201452381995
0d,7585485,construction.components.faucet,45672,3059,6.697757926081625
0d,7585485,kids.skates,45187,1984,4.390643326620488
0d,7585485,sport.ski,44779,1392,3.108600013399138
31+d,5002334,appliances.kitchen.coffee_machine,43977,1947,4.427314277918002
31+d,5002334,apparel.glove,43799,2232,5.096006758145164
0d,7585485,furniture.living_room.chair,43762,1061,2.4244778575019423
0d,7585485,appliances.kitchen.mixer,43030,2102,4.8849639786195675
0d,7585485,electronics.camera.video,41546,2222,5.348288643912771
31+d,5002334,computers.peripherals.monitor,41110,3583,8.715640963269278
31+d,5002334,country_yard.furniture.hammok,39712,2467,6.212228041901692
31+d,5002334,kids.fmcg.diapers,39102,2408,6.1582527747941285
31+d,5002334,country_yard.lawn_mower,38613,1461,3.7836997902260894
0d,7585485,computers.components.cooler,38267,1538,4.019128753233857
31+d,5002334,auto.accessories.winch,38134,2923,7.6650757853883675
0d,7585485,appliances.kitchen.coffee_grinder,37967,2934,7.727763584165197
31+d,5002334,furniture.bathroom.toilet,37744,1553,4.11456125476897
0d,7585485,kids.dolls,36435,843,2.3137093454096336
0d,7585485,electronics.audio.subwoofer,34348,2005,5.837312216140678
31+d,5002334,furniture.bedroom.pillow,33565,1853,5.520631610308357
0d,7585485,computers.components.videocards,33271,283,0.8505906044302847
0d,7585485,furniture.bathroom.bath,31274,1897,6.065741510519921
0d,7585485,appliances.environment.air_heater,30851,1421,4.606009529674889
0d,7585485,furniture.living_room.cabinet,30781,838,2.722458659562717
0d,7585485,appliances.kitchen.blender,30200,2676,8.860927152317881
31+d,5002334,apparel.skirt,30183,479,1.5869860517509857
0d,7585485,furniture.universal.light,29615,937,3.163937193989532
0d,7585485,electronics.audio.microphone,29601,680,2.2972196885240366
0d,7585485,apparel.shoes.moccasins,29238,900,3.078185922429715
0d,7585485,kids.swing,28230,2137,7.569961034360609
0d,7585485,construction.tools.generator,26101,1421,5.444235853032451
31+d,5002334,computers.components.hdd,25967,2773,10.678938652905611
0d,7585485,electronics.audio.acoustic,25819,1193,4.620628219528254
31+d,5002334,auto.accessories.parktronic,25812,745,2.886254455292112
31+d,5002334,computers.components.cpu,25701,1144,4.451188669701568
31+d,5002334,appliances.kitchen.fryer,25525,751,2.942213516160627
0d,7585485,construction.tools.saw,25452,1141,4.482948294829483
31+d,5002334,construction.tools.screw,25105,581,2.3142800238996215
0d,7585485,electronics.telephone,24183,883,3.651325311169003
31+d,5002334,auto.accessories.anti_freeze,23045,925,4.013885875461055
31+d,5002334,furniture.living_room.shelving,22982,623,2.7108171612566356
0d,7585485,auto.accessories.compressor,22663,1379,6.084807836561796
31+d,5002334,computers.peripherals.camera,22456,798,3.5536159600997506
0d,7585485,apparel.jeans,22452,450,2.0042757883484765
0d,7585485,appliances.environment.air_conditioner,22225,1503,6.762654668166479
31+d,5002334,computers.peripherals.keyboard,21932,1593,7.263359474740105
0d,7585485,apparel.shoes.step_ins,21736,506,2.327935222672065
0d,7585485,appliances.kitchen.kettle,21673,1148,5.2969132099847736
31+d,5002334,computers.components.memory,20653,1750,8.473345276715246
0d,7585485,apparel.trousers,20471,1505,7.35186361193884
31+d,5002334,appliances.kitchen.steam_cooker,20273,1049,5.174369851526661
0d,7585485,accessories.wallet,19901,937,4.708306115270589
0d,7585485,electronics.video.projector,19529,574,2.9392185979824874
0d,7585485,auto.accessories.player,19007,311,1.6362392802651653
0d,7585485,appliances.kitchen.hood,18986,1178,6.204571789739808
0d,7585485,computers.peripherals.mouse,18246,531,2.9102268990463664